"","X","dm","gdr","smk","age","sbp","chl","refv","AFR_D","AFR_E","AMR_A","AMR_B","AMR_D","EMR_B","EMR_D","EUR_A","EUR_B","EUR_C","SEAR_B","SEAR_D","WPR_B","WPR_A"
"1",1,1,0,1,40,120,4,400111204,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"2",2,1,0,1,40,120,5,400111205,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"3",3,1,0,1,40,120,6,400111206,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"4",4,1,0,1,40,120,7,400111207,"<10%","<10%","10% to <20%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","10% to <20%","10% to <20%","<10%","<10%"
"5",5,1,0,1,40,120,8,400111208,"10% to <20%","10% to <20%","20% to <30%","10% to <20%","10% to <20%","<10%","<10%","<10%","10% to <20%","<10%","20% to <30%","30% to <40%","<10%","<10%"
"6",6,1,0,1,40,140,4,400111404,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"7",7,1,0,1,40,140,5,400111405,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","10% to <20%","<10%","<10%","<10%"
"8",8,1,0,1,40,140,6,400111406,"<10%","<10%","10% to <20%","10% to <20%","10% to <20%","<10%","<10%","<10%","<10%","<10%","10% to <20%","10% to <20%","<10%","<10%"
"9",9,1,0,1,40,140,7,400111407,"10% to <20%","20% to <30%","20% to <30%","20% to <30%","10% to <20%","<10%","10% to <20%","<10%","10% to <20%","<10%","30% to <40%","30% to <40%","10% to <20%","10% to <20%"
"10",10,1,0,1,40,140,8,400111408,"20% to <30%","20% to <30%",">=40%","30% to <40%","30% to <40%","10% to <20%","20% to <30%","10% to <20%","30% to <40%","20% to <30%",">=40%",">=40%","30% to <40%","10% to <20%"
"11",11,1,0,1,40,160,4,400111604,"<10%","<10%","10% to <20%","10% to <20%","10% to <20%","<10%","<10%","<10%","<10%","<10%","10% to <20%","20% to <30%","<10%","<10%"
"12",12,1,0,1,40,160,5,400111605,"10% to <20%","10% to <20%","20% to <30%","20% to <30%","20% to <30%","10% to <20%","10% to <20%","<10%","10% to <20%","<10%","30% to <40%","20% to <30%","20% to <30%","10% to <20%"
"13",13,1,0,1,40,160,6,400111606,"20% to <30%","20% to <30%","30% to <40%",">=40%","30% to <40%","20% to <30%","20% to <30%","<10%","20% to <30%","10% to <20%",">=40%",">=40%","20% to <30%","20% to <30%"
"14",14,1,0,1,40,160,7,400111607,">=40%",">=40%",">=40%",">=40%",">=40%","30% to <40%","30% to <40%","10% to <20%",">=40%","20% to <30%",">=40%",">=40%",">=40%","30% to <40%"
"15",15,1,0,1,40,160,8,400111608,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%","20% to <30%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"16",16,1,0,1,40,180,4,400111804,"30% to <40%","30% to <40%",">=40%",">=40%",">=40%","30% to <40%","30% to <40%","10% to <20%","30% to <40%","20% to <30%",">=40%",">=40%",">=40%","30% to <40%"
"17",17,1,0,1,40,180,5,400111805,">=40%","30% to <40%",">=40%",">=40%",">=40%",">=40%",">=40%","20% to <30%",">=40%","30% to <40%",">=40%",">=40%",">=40%",">=40%"
"18",18,1,0,1,40,180,6,400111806,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"19",19,1,0,1,40,180,7,400111807,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"20",20,1,0,1,40,180,8,400111808,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"21",21,1,0,1,50,120,4,500111204,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"22",22,1,0,1,50,120,5,500111205,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"23",23,1,0,1,50,120,6,500111206,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","10% to <20%","10% to <20%","<10%","<10%"
"24",24,1,0,1,50,120,7,500111207,"<10%","<10%","10% to <20%","10% to <20%","10% to <20%","<10%","<10%","<10%","<10%","<10%","10% to <20%","20% to <30%","<10%","<10%"
"25",25,1,0,1,50,120,8,500111208,"10% to <20%","10% to <20%","20% to <30%","20% to <30%","10% to <20%","10% to <20%","10% to <20%","<10%","10% to <20%","10% to <20%","20% to <30%",">=40%","10% to <20%","<10%"
"26",26,1,0,1,50,140,4,500111404,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","10% to <20%","<10%","<10%"
"27",27,1,0,1,50,140,5,500111405,"<10%","<10%","10% to <20%","10% to <20%","10% to <20%","<10%","<10%","<10%","<10%","<10%","10% to <20%","10% to <20%","<10%","<10%"
"28",28,1,0,1,50,140,6,500111406,"10% to <20%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","<10%","10% to <20%","<10%","20% to <30%","30% to <40%","10% to <20%","<10%"
"29",29,1,0,1,50,140,7,500111407,"20% to <30%","20% to <30%","30% to <40%","20% to <30%","20% to <30%","10% to <20%","20% to <30%","<10%","20% to <30%","10% to <20%","30% to <40%",">=40%","20% to <30%","10% to <20%"
"30",30,1,0,1,50,140,8,500111408,"20% to <30%","20% to <30%",">=40%","30% to <40%",">=40%","30% to <40%","30% to <40%","10% to <20%","30% to <40%","30% to <40%",">=40%",">=40%","30% to <40%","20% to <30%"
"31",31,1,0,1,50,160,4,500111604,"10% to <20%","10% to <20%","10% to <20%","20% to <30%","10% to <20%","10% to <20%","10% to <20%","<10%","10% to <20%","<10%","20% to <30%","20% to <30%","10% to <20%","10% to <20%"
"32",32,1,0,1,50,160,5,500111605,"10% to <20%","10% to <20%","20% to <30%","20% to <30%","20% to <30%","20% to <30%","20% to <30%","<10%","10% to <20%","10% to <20%","30% to <40%","30% to <40%","20% to <30%","10% to <20%"
"33",33,1,0,1,50,160,6,500111606,"20% to <30%","20% to <30%",">=40%",">=40%","30% to <40%","30% to <40%","30% to <40%","10% to <20%","20% to <30%","10% to <20%",">=40%",">=40%","30% to <40%","20% to <30%"
"34",34,1,0,1,50,160,7,500111607,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%","20% to <30%",">=40%","30% to <40%",">=40%",">=40%",">=40%","30% to <40%"
"35",35,1,0,1,50,160,8,500111608,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%","30% to <40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"36",36,1,0,1,50,180,4,500111804,"30% to <40%","30% to <40%",">=40%",">=40%",">=40%",">=40%",">=40%","20% to <30%",">=40%","30% to <40%",">=40%",">=40%",">=40%","30% to <40%"
"37",37,1,0,1,50,180,5,500111805,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%","30% to <40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"38",38,1,0,1,50,180,6,500111806,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"39",39,1,0,1,50,180,7,500111807,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"40",40,1,0,1,50,180,8,500111808,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"41",41,1,0,1,60,120,4,600111204,"<10%","<10%","<10%","<10%","<10%","10% to <20%","10% to <20%","<10%","<10%","<10%","<10%","10% to <20%","<10%","<10%"
"42",42,1,0,1,60,120,5,600111205,"10% to <20%","<10%","<10%","<10%","<10%","20% to <30%","10% to <20%","<10%","<10%","<10%","10% to <20%","20% to <30%","<10%","<10%"
"43",43,1,0,1,60,120,6,600111206,"10% to <20%","10% to <20%","10% to <20%","<10%","10% to <20%","20% to <30%","20% to <30%","<10%","10% to <20%","<10%","20% to <30%","30% to <40%","10% to <20%","<10%"
"44",44,1,0,1,60,120,7,600111207,"20% to <30%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","30% to <40%","30% to <40%","<10%","10% to <20%","10% to <20%","30% to <40%",">=40%","10% to <20%","10% to <20%"
"45",45,1,0,1,60,120,8,600111208,"30% to <40%","10% to <20%","20% to <30%","20% to <30%","30% to <40%",">=40%",">=40%","10% to <20%","20% to <30%","20% to <30%","30% to <40%",">=40%","20% to <30%","10% to <20%"
"46",46,1,0,1,60,140,4,600111404,"10% to <20%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","20% to <30%","10% to <20%","<10%","10% to <20%","<10%","10% to <20%","30% to <40%","10% to <20%","<10%"
"47",47,1,0,1,60,140,5,600111405,"10% to <20%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","30% to <40%","20% to <30%","<10%","10% to <20%","10% to <20%","20% to <30%",">=40%","10% to <20%","10% to <20%"
"48",48,1,0,1,60,140,6,600111406,"20% to <30%","20% to <30%","20% to <30%","10% to <20%","20% to <30%",">=40%","30% to <40%","10% to <20%","20% to <30%","10% to <20%","30% to <40%",">=40%","20% to <30%","10% to <20%"
"49",49,1,0,1,60,140,7,600111407,"30% to <40%","20% to <30%","30% to <40%","20% to <30%","30% to <40%",">=40%",">=40%","10% to <20%","20% to <30%","20% to <30%",">=40%",">=40%","20% to <30%","10% to <20%"
"50",50,1,0,1,60,140,8,600111408,"30% to <40%","20% to <30%",">=40%","30% to <40%",">=40%",">=40%",">=40%","20% to <30%",">=40%","30% to <40%",">=40%",">=40%",">=40%","20% to <30%"
"51",51,1,0,1,60,160,4,600111604,"20% to <30%","10% to <20%","20% to <30%","20% to <30%","20% to <30%",">=40%","30% to <40%","10% to <20%","10% to <20%","10% to <20%","30% to <40%",">=40%","20% to <30%","10% to <20%"
"52",52,1,0,1,60,160,5,600111605,"30% to <40%","20% to <30%","30% to <40%","20% to <30%","30% to <40%",">=40%",">=40%","10% to <20%","20% to <30%","20% to <30%",">=40%",">=40%","30% to <40%","20% to <30%"
"53",53,1,0,1,60,160,6,600111606,">=40%","30% to <40%",">=40%",">=40%",">=40%",">=40%",">=40%","20% to <30%","30% to <40%","20% to <30%",">=40%",">=40%",">=40%","20% to <30%"
"54",54,1,0,1,60,160,7,600111607,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%","20% to <30%",">=40%","30% to <40%",">=40%",">=40%",">=40%","30% to <40%"
"55",55,1,0,1,60,160,8,600111608,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%","30% to <40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"56",56,1,0,1,60,180,4,600111804,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%","30% to <40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"57",57,1,0,1,60,180,5,600111805,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%","30% to <40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"58",58,1,0,1,60,180,6,600111806,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"59",59,1,0,1,60,180,7,600111807,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"60",60,1,0,1,60,180,8,600111808,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"61",61,1,0,1,70,120,4,700111204,"10% to <20%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","20% to <30%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","20% to <30%","10% to <20%","10% to <20%"
"62",62,1,0,1,70,120,5,700111205,"10% to <20%","10% to <20%","20% to <30%","10% to <20%","10% to <20%","30% to <40%","20% to <30%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","30% to <40%","10% to <20%","10% to <20%"
"63",63,1,0,1,70,120,6,700111206,"20% to <30%","10% to <20%","20% to <30%","20% to <30%","20% to <30%","30% to <40%","30% to <40%","10% to <20%","10% to <20%","20% to <30%","20% to <30%",">=40%","20% to <30%","10% to <20%"
"64",64,1,0,1,70,120,7,700111207,"20% to <30%","10% to <20%","30% to <40%","20% to <30%","30% to <40%",">=40%",">=40%","20% to <30%","20% to <30%","20% to <30%","30% to <40%",">=40%","20% to <30%","20% to <30%"
"65",65,1,0,1,70,120,8,700111208,"30% to <40%","30% to <40%","30% to <40%","30% to <40%","30% to <40%",">=40%",">=40%","20% to <30%","30% to <40%","30% to <40%","30% to <40%",">=40%","20% to <30%","20% to <30%"
"66",66,1,0,1,70,140,4,700111404,"20% to <30%","10% to <20%","20% to <30%","20% to <30%","20% to <30%","30% to <40%","20% to <30%","10% to <20%","10% to <20%","20% to <30%","20% to <30%",">=40%","20% to <30%","10% to <20%"
"67",67,1,0,1,70,140,5,700111405,"20% to <30%","20% to <30%","30% to <40%","20% to <30%","30% to <40%",">=40%","30% to <40%","20% to <30%","20% to <30%","20% to <30%","30% to <40%",">=40%","20% to <30%","20% to <30%"
"68",68,1,0,1,70,140,6,700111406,"30% to <40%","20% to <30%","30% to <40%","30% to <40%","30% to <40%",">=40%",">=40%","20% to <30%","30% to <40%","30% to <40%","30% to <40%",">=40%","30% to <40%","20% to <30%"
"69",69,1,0,1,70,140,7,700111407,">=40%","30% to <40%",">=40%",">=40%",">=40%",">=40%",">=40%","30% to <40%","30% to <40%","30% to <40%",">=40%",">=40%",">=40%","30% to <40%"
"70",70,1,0,1,70,140,8,700111408,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"71",71,1,0,1,70,160,4,700111604,"30% to <40%","20% to <30%","30% to <40%","30% to <40%",">=40%",">=40%",">=40%","30% to <40%","20% to <30%","30% to <40%","30% to <40%",">=40%","30% to <40%","20% to <30%"
"72",72,1,0,1,70,160,5,700111605,">=40%","30% to <40%",">=40%",">=40%",">=40%",">=40%",">=40%","30% to <40%","30% to <40%","30% to <40%",">=40%",">=40%",">=40%","30% to <40%"
"73",73,1,0,1,70,160,6,700111606,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"74",74,1,0,1,70,160,7,700111607,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"75",75,1,0,1,70,160,8,700111608,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"76",76,1,0,1,70,180,4,700111804,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"77",77,1,0,1,70,180,5,700111805,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"78",78,1,0,1,70,180,6,700111806,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"79",79,1,0,1,70,180,7,700111807,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"80",80,1,0,1,70,180,8,700111808,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"81",81,1,0,0,40,120,4,400101204,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"82",82,1,0,0,40,120,5,400101205,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"83",83,1,0,0,40,120,6,400101206,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"84",84,1,0,0,40,120,7,400101207,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"85",85,1,0,0,40,120,8,400101208,"<10%","<10%","10% to <20%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","20% to <30%","20% to <30%","<10%","<10%"
"86",86,1,0,0,40,140,4,400101404,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"87",87,1,0,0,40,140,5,400101405,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"88",88,1,0,0,40,140,6,400101406,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","10% to <20%","<10%","<10%","<10%"
"89",89,1,0,0,40,140,7,400101407,"<10%","<10%","10% to <20%","10% to <20%","<10%","<10%","<10%","<10%","<10%","<10%","20% to <30%","10% to <20%","<10%","<10%"
"90",90,1,0,0,40,140,8,400101408,"20% to <30%","10% to <20%","30% to <40%","30% to <40%","20% to <30%","10% to <20%","10% to <20%","<10%","20% to <30%","10% to <20%","20% to <30%",">=40%","20% to <30%","10% to <20%"
"91",91,1,0,0,40,160,4,400101604,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"92",92,1,0,0,40,160,5,400101605,"<10%","<10%","10% to <20%","10% to <20%","10% to <20%","<10%","<10%","<10%","<10%","<10%","10% to <20%","10% to <20%","<10%","<10%"
"93",93,1,0,0,40,160,6,400101606,"10% to <20%","10% to <20%","20% to <30%","20% to <30%","10% to <20%","<10%","10% to <20%","<10%","10% to <20%","<10%","30% to <40%","20% to <30%","10% to <20%","<10%"
"94",94,1,0,0,40,160,7,400101607,"20% to <30%","20% to <30%","30% to <40%","30% to <40%","20% to <30%","10% to <20%","10% to <20%","<10%","20% to <30%","10% to <20%",">=40%",">=40%","20% to <30%","10% to <20%"
"95",95,1,0,0,40,160,8,400101608,">=40%",">=40%",">=40%",">=40%",">=40%","20% to <30%","30% to <40%","10% to <20%",">=40%","20% to <30%",">=40%",">=40%",">=40%","30% to <40%"
"96",96,1,0,0,40,180,4,400101804,"10% to <20%","20% to <30%","20% to <30%","30% to <40%","20% to <30%","10% to <20%","20% to <30%","<10%","20% to <30%","10% to <20%","30% to <40%","30% to <40%","20% to <30%","10% to <20%"
"97",97,1,0,0,40,180,5,400101805,"20% to <30%","30% to <40%","30% to <40%",">=40%","30% to <40%","20% to <30%","30% to <40%","10% to <20%","30% to <40%","20% to <30%",">=40%",">=40%",">=40%","20% to <30%"
"98",98,1,0,0,40,180,6,400101806,">=40%",">=40%",">=40%",">=40%",">=40%","30% to <40%",">=40%","10% to <20%",">=40%","30% to <40%",">=40%",">=40%",">=40%","30% to <40%"
"99",99,1,0,0,40,180,7,400101807,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%","30% to <40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"100",100,1,0,0,40,180,8,400101808,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"101",101,1,0,0,50,120,4,500101204,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"102",102,1,0,0,50,120,5,500101205,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"103",103,1,0,0,50,120,6,500101206,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"104",104,1,0,0,50,120,7,500101207,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","10% to <20%","10% to <20%","<10%","<10%"
"105",105,1,0,0,50,120,8,500101208,"<10%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","<10%","<10%","<10%","10% to <20%","<10%","20% to <30%","20% to <30%","<10%","<10%"
"106",106,1,0,0,50,140,4,500101404,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"107",107,1,0,0,50,140,5,500101405,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"108",108,1,0,0,50,140,6,500101406,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","10% to <20%","10% to <20%","<10%","<10%"
"109",109,1,0,0,50,140,7,500101407,"10% to <20%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","<10%","10% to <20%","<10%","20% to <30%","20% to <30%","10% to <20%","<10%"
"110",110,1,0,0,50,140,8,500101408,"20% to <30%","20% to <30%","30% to <40%","30% to <40%","20% to <30%","20% to <30%","20% to <30%","10% to <20%","20% to <30%","10% to <20%","30% to <40%",">=40%","20% to <30%","10% to <20%"
"111",111,1,0,0,50,160,4,500101604,"<10%","<10%","<10%","10% to <20%","<10%","<10%","<10%","<10%","<10%","<10%","10% to <20%","10% to <20%","<10%","<10%"
"112",112,1,0,0,50,160,5,500101605,"<10%","<10%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","<10%","10% to <20%","<10%","10% to <20%","20% to <30%","10% to <20%","<10%"
"113",113,1,0,0,50,160,6,500101606,"10% to <20%","10% to <20%","20% to <30%","20% to <30%","10% to <20%","10% to <20%","10% to <20%","<10%","10% to <20%","10% to <20%","30% to <40%","30% to <40%","10% to <20%","10% to <20%"
"114",114,1,0,0,50,160,7,500101607,"20% to <30%","20% to <30%","30% to <40%","30% to <40%","20% to <30%","20% to <30%","20% to <30%","10% to <20%","20% to <30%","10% to <20%",">=40%",">=40%","20% to <30%","10% to <20%"
"115",115,1,0,0,50,160,8,500101608,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%","20% to <30%",">=40%","30% to <40%",">=40%",">=40%",">=40%","30% to <40%"
"116",116,1,0,0,50,180,4,500101804,"20% to <30%","20% to <30%","20% to <30%","30% to <40%","30% to <40%","20% to <30%","20% to <30%","10% to <20%","20% to <30%","20% to <30%","30% to <40%","30% to <40%","30% to <40%","20% to <30%"
"117",117,1,0,0,50,180,5,500101805,"30% to <40%","30% to <40%","30% to <40%",">=40%",">=40%","30% to <40%",">=40%","10% to <20%","30% to <40%","20% to <30%",">=40%",">=40%",">=40%","20% to <30%"
"118",118,1,0,0,50,180,6,500101806,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%","20% to <30%",">=40%","30% to <40%",">=40%",">=40%",">=40%","30% to <40%"
"119",119,1,0,0,50,180,7,500101807,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%","30% to <40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"120",120,1,0,0,50,180,8,500101808,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"121",121,1,0,0,60,120,4,600101204,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"122",122,1,0,0,60,120,5,600101205,"<10%","<10%","10% to <20%","<10%","<10%","<10%","10% to <20%","<10%","<10%","<10%","<10%","10% to <20%","<10%","<10%"
"123",123,1,0,0,60,120,6,600101206,"<10%","<10%","10% to <20%","<10%","<10%","10% to <20%","10% to <20%","<10%","<10%","10% to <20%","<10%","10% to <20%","<10%","<10%"
"124",124,1,0,0,60,120,7,600101207,"10% to <20%","10% to <20%","20% to <30%","10% to <20%","10% to <20%","10% to <20%","20% to <30%","<10%","10% to <20%","10% to <20%","10% to <20%","20% to <30%","10% to <20%","<10%"
"125",125,1,0,0,60,120,8,600101208,"20% to <30%","20% to <30%","20% to <30%","10% to <20%","10% to <20%","30% to <40%","30% to <40%","10% to <20%","10% to <20%","20% to <30%","20% to <30%","30% to <40%","10% to <20%","10% to <20%"
"126",126,1,0,0,60,140,4,600101404,"<10%","<10%","10% to <20%","<10%","<10%","10% to <20%","10% to <20%","<10%","<10%","10% to <20%","<10%","10% to <20%","10% to <20%","<10%"
"127",127,1,0,0,60,140,5,600101405,"10% to <20%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","20% to <30%","<10%","10% to <20%","10% to <20%","10% to <20%","20% to <30%","10% to <20%","10% to <20%"
"128",128,1,0,0,60,140,6,600101406,"10% to <20%","10% to <20%","20% to <30%","10% to <20%","10% to <20%","20% to <30%","20% to <30%","10% to <20%","10% to <20%","20% to <30%","10% to <20%","30% to <40%","10% to <20%","10% to <20%"
"129",129,1,0,0,60,140,7,600101407,"20% to <30%","20% to <30%","30% to <40%","20% to <30%","20% to <30%","30% to <40%","30% to <40%","10% to <20%","20% to <30%","20% to <30%","20% to <30%",">=40%","20% to <30%","10% to <20%"
"130",130,1,0,0,60,140,8,600101408,"30% to <40%","20% to <30%",">=40%","30% to <40%","30% to <40%",">=40%",">=40%","20% to <30%","30% to <40%","30% to <40%","30% to <40%",">=40%","30% to <40%","20% to <30%"
"131",131,1,0,0,60,160,4,600101604,"10% to <20%","10% to <20%","20% to <30%","20% to <30%","10% to <20%","20% to <30%","20% to <30%","10% to <20%","10% to <20%","20% to <30%","10% to <20%","20% to <30%","20% to <30%","10% to <20%"
"132",132,1,0,0,60,160,5,600101605,"20% to <30%","10% to <20%","30% to <40%","20% to <30%","20% to <30%","30% to <40%","30% to <40%","10% to <20%","20% to <30%","20% to <30%","20% to <30%","30% to <40%","20% to <30%","20% to <30%"
"133",133,1,0,0,60,160,6,600101606,"20% to <30%","20% to <30%",">=40%","30% to <40%","20% to <30%",">=40%",">=40%","20% to <30%","20% to <30%","30% to <40%","30% to <40%",">=40%","30% to <40%","20% to <30%"
"134",134,1,0,0,60,160,7,600101607,"30% to <40%","30% to <40%",">=40%",">=40%","30% to <40%",">=40%",">=40%","20% to <30%","30% to <40%","30% to <40%",">=40%",">=40%",">=40%","30% to <40%"
"135",135,1,0,0,60,160,8,600101608,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%","30% to <40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"136",136,1,0,0,60,180,4,600101804,">=40%","30% to <40%",">=40%",">=40%","30% to <40%",">=40%",">=40%","20% to <30%",">=40%",">=40%","30% to <40%",">=40%",">=40%","30% to <40%"
"137",137,1,0,0,60,180,5,600101805,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%","30% to <40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"138",138,1,0,0,60,180,6,600101806,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"139",139,1,0,0,60,180,7,600101807,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
