"","X","dm","gdr","smk","age","sbp","chl","refv","AFR_D","AFR_E","AMR_A","AMR_B","AMR_D","EMR_B","EMR_D","EUR_A","EUR_B","EUR_C","SEAR_B","SEAR_D","WPR_B","WPR_A"
"593",593,0,1,0,50,160,6,501001606,"10% to <20%","10% to <20%","10% to <20%","10% to <20%","<10%","<10%","10% to <20%","<10%","<10%","<10%","<10%","10% to <20%","10% to <20%","<10%"
"594",594,0,1,0,50,160,7,501001607,"10% to <20%","20% to <30%","20% to <30%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","<10%","10% to <20%","10% to <20%","10% to <20%","20% to <30%","10% to <20%","10% to <20%"
"595",595,0,1,0,50,160,8,501001608,"30% to <40%","20% to <30%",">=40%","30% to <40%","20% to <30%","20% to <30%","30% to <40%","10% to <20%","20% to <30%","20% to <30%","20% to <30%",">=40%","30% to <40%","20% to <30%"
"596",596,0,1,0,50,180,4,501001804,"10% to <20%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","10% to <20%","<10%","10% to <20%","10% to <20%","10% to <20%","20% to <30%","20% to <30%","10% to <20%"
"597",597,0,1,0,50,180,5,501001805,"20% to <30%","20% to <30%","20% to <30%","20% to <30%","20% to <30%","20% to <30%","20% to <30%","<10%","20% to <30%","20% to <30%","20% to <30%","30% to <40%","20% to <30%","20% to <30%"
"598",598,0,1,0,50,180,6,501001806,"30% to <40%","30% to <40%","30% to <40%","30% to <40%","20% to <30%","20% to <30%","30% to <40%","10% to <20%","20% to <30%","30% to <40%","20% to <30%",">=40%","30% to <40%","20% to <30%"
"599",599,0,1,0,50,180,7,501001807,">=40%",">=40%",">=40%",">=40%","30% to <40%","30% to <40%",">=40%","20% to <30%",">=40%",">=40%",">=40%",">=40%",">=40%","30% to <40%"
"600",600,0,1,0,50,180,8,501001808,">=40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%","30% to <40%",">=40%",">=40%",">=40%",">=40%",">=40%",">=40%"
"601",601,0,1,0,60,120,4,601001204,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
"602",602,0,1,0,60,120,5,601001205,"<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%","<10%"
