"dm","gdr","smk","age","sbp","chl","refv","N_AFR_ME","CSS_AFR","ESS_AFR","SSS_AFR","WSS_AFR","SN_LAT_AME","HI_N_AME","CAR","AND_LAT_AME","CEN_LAT_AME","TRO_LAT_AME","EAS_ASI","SOU_ASI","SE_ASI","CEN_ASI","HI_ASI_PAC","WES_EUR","CEN_EUR","EAS_EUR","OCE","AUS"
0,1,0,"70-74","120-139","6-6.9","70-74_1_0_0_120-139_6-6.9",28,17,16,16,16,19,22,16,12,14,14,22,17,17,34,16,20,24,28,17,20
0,1,0,"70-74","<120","6-6.9","70-74_1_0_0_<120_6-6.9",24,14,14,13,13,16,19,13,10,11,11,17,14,14,26,14,17,19,24,15,17
0,1,0,"65-69",">=180","6-6.9","65-69_1_0_0_>=180_6-6.9",38,24,23,22,23,25,30,23,17,20,19,32,24,25,51,22,29,35,37,24,27
0,1,0,"65-69","160-179","6-6.9","65-69_1_0_0_160-179_6-6.9",32,19,19,18,19,21,25,19,14,16,15,26,20,20,40,18,23,28,31,20,23
0,1,0,"65-69","140-159","6-6.9","65-69_1_0_0_140-159_6-6.9",26,16,15,15,15,17,21,15,12,13,13,20,16,16,30,15,19,22,26,16,19
0,1,0,"65-69","120-139","6-6.9","65-69_1_0_0_120-139_6-6.9",22,13,12,12,12,14,18,12,9,10,10,16,13,12,23,13,15,17,22,13,16
0,1,0,"65-69","<120","6-6.9","65-69_1_0_0_<120_6-6.9",18,10,10,9,10,12,15,10,8,8,8,12,11,10,17,11,12,13,18,11,13
0,1,0,"60-64",">=180","6-6.9","60-64_1_0_0_>=180_6-6.9",31,19,19,18,18,21,25,18,14,16,15,25,19,19,38,18,23,27,31,20,22
0,1,0,"60-64","160-179","6-6.9","60-64_1_0_0_160-179_6-6.9",25,15,15,14,14,17,20,14,11,12,12,20,15,15,28,15,18,21,25,16,18
0,1,0,"60-64","140-159","6-6.9","60-64_1_0_0_140-159_6-6.9",20,12,12,11,11,13,17,11,9,10,10,15,12,12,21,12,14,16,21,13,15
0,1,0,"60-64","120-139","6-6.9","60-64_1_0_0_120-139_6-6.9",16,9,9,9,9,11,14,9,7,8,8,11,10,9,15,10,11,12,17,10,12
0,1,0,"60-64","<120","6-6.9","60-64_1_0_0_<120_6-6.9",13,7,7,7,7,9,11,7,6,6,6,9,8,7,11,8,9,9,14,8,10
0,1,0,"55-59",">=180","6-6.9","55-59_1_0_0_>=180_6-6.9",25,15,15,14,14,17,20,14,11,12,12,20,15,15,28,15,18,21,25,16,18
0,1,0,"55-59","160-179","6-6.9","55-59_1_0_0_160-179_6-6.9",20,12,11,11,11,13,16,11,9,10,10,15,12,11,20,12,14,16,20,13,14
0,1,0,"55-59","140-159","6-6.9","55-59_1_0_0_140-159_6-6.9",16,9,9,8,9,10,13,8,7,7,8,11,9,9,14,10,11,12,16,10,11
0,1,0,"55-59","120-139","6-6.9","55-59_1_0_0_120-139_6-6.9",12,7,7,6,7,8,10,6,5,6,6,8,7,6,10,8,8,9,13,8,9
0,1,0,"55-59","<120","6-6.9","55-59_1_0_0_<120_6-6.9",10,5,5,5,5,6,8,5,4,4,5,6,6,5,7,6,6,6,10,6,7
0,1,0,"50-54",">=180","6-6.9","50-54_1_0_0_>=180_6-6.9",20,12,12,11,11,13,16,11,9,10,10,16,12,12,20,12,14,16,21,13,15
0,1,0,"50-54","160-179","6-6.9","50-54_1_0_0_160-179_6-6.9",16,9,9,8,8,10,13,8,7,7,8,11,9,9,14,10,10,12,16,10,11
0,1,0,"50-54","140-159","6-6.9","50-54_1_0_0_140-159_6-6.9",12,7,7,6,6,8,10,6,5,6,6,8,7,6,10,8,8,8,13,8,9
0,1,0,"50-54","120-139","6-6.9","50-54_1_0_0_120-139_6-6.9",9,5,5,5,5,6,8,5,4,4,4,6,6,5,7,6,6,6,10,6,7
0,1,0,"50-54","<120","6-6.9","50-54_1_0_0_<120_6-6.9",7,4,4,4,4,5,6,4,3,3,3,4,4,3,5,5,4,4,8,5,6
0,1,0,"45-49",">=180","6-6.9","45-49_1_0_0_>=180_6-6.9",16,9,9,9,9,11,13,9,7,8,8,12,10,9,14,10,11,12,17,11,12
0,1,0,"45-49","160-179","6-6.9","45-49_1_0_0_160-179_6-6.9",12,7,7,6,6,8,10,6,5,6,6,9,7,6,10,8,8,9,13,8,9
0,1,0,"45-49","140-159","6-6.9","45-49_1_0_0_140-159_6-6.9",9,5,5,5,5,6,8,5,4,4,4,6,6,5,7,6,6,6,10,6,7
0,1,0,"45-49","120-139","6-6.9","45-49_1_0_0_120-139_6-6.9",7,4,4,3,3,5,6,3,3,3,3,4,4,3,4,5,4,4,8,4,5
0,1,0,"45-49","<120","6-6.9","45-49_1_0_0_<120_6-6.9",5,3,3,3,3,4,5,3,2,2,3,3,3,2,3,4,3,3,6,3,4
0,1,0,"40-44",">=180","6-6.9","40-44_1_0_0_>=180_6-6.9",13,7,7,7,7,8,11,7,6,6,6,10,8,7,10,8,8,9,14,9,9
0,1,0,"40-44","160-179","6-6.9","40-44_1_0_0_160-179_6-6.9",9,5,5,5,5,6,8,5,4,4,5,6,6,5,7,6,6,6,10,6,7
0,1,0,"40-44","140-159","6-6.9","40-44_1_0_0_140-159_6-6.9",7,4,4,3,4,5,6,4,3,3,3,4,4,3,4,5,4,4,8,5,5
0,1,0,"40-44","120-139","6-6.9","40-44_1_0_0_120-139_6-6.9",5,3,3,3,3,4,5,3,2,2,3,3,3,2,3,4,3,3,6,3,4
0,1,0,"40-44","<120","6-6.9","40-44_1_0_0_<120_6-6.9",4,2,2,2,2,3,4,2,2,2,2,2,2,2,2,3,2,2,4,3,3
0,1,0,"70-74",">=180",">=7","70-74_1_0_0_>=180_>=7",50,33,32,31,32,34,39,32,24,27,25,43,33,35,73,28,40,49,48,31,36
0,1,0,"70-74","160-179",">=7","70-74_1_0_0_160-179_>=7",43,27,26,26,27,29,34,26,20,23,21,35,28,29,61,24,33,40,41,27,31
0,1,0,"70-74","140-159",">=7","70-74_1_0_0_140-159_>=7",37,23,22,21,22,24,29,22,17,19,18,29,23,23,50,21,28,33,36,22,26
0,1,0,"70-74","120-139",">=7","70-74_1_0_0_120-139_>=7",31,19,18,18,18,21,25,18,14,16,15,23,19,19,40,18,23,27,31,19,22
0,1,0,"70-74","<120",">=7","70-74_1_0_0_<120_>=7",26,15,15,14,15,17,21,15,11,13,12,19,16,15,31,15,19,22,26,16,19
0,1,0,"65-69",">=180",">=7","65-69_1_0_0_>=180_>=7",42,27,26,25,26,28,33,26,19,22,21,35,27,28,59,24,32,39,41,26,30
0,1,0,"65-69","160-179",">=7","65-69_1_0_0_160-179_>=7",35,22,21,20,21,23,28,21,16,18,17,28,22,22,47,20,26,32,34,22,25
0,1,0,"65-69","140-159",">=7","65-69_1_0_0_140-159_>=7",29,18,17,16,17,19,23,17,13,15,14,22,18,18,37,17,21,25,29,18,21
0,1,0,"65-69","120-139",">=7","65-69_1_0_0_120-139_>=7",24,14,14,13,14,16,19,13,10,12,11,17,15,14,28,14,17,20,24,15,17
0,1,0,"65-69","<120",">=7","65-69_1_0_0_<120_>=7",20,11,11,11,11,13,16,11,8,9,9,13,12,11,21,12,14,15,20,12,14
0,1,0,"60-64",">=180",">=7","60-64_1_0_0_>=180_>=7",35,21,21,20,21,23,27,21,16,18,17,28,22,22,46,20,26,31,34,22,25
0,1,0,"60-64","160-179",">=7","60-64_1_0_0_160-179_>=7",29,17,17,16,16,19,23,16,13,14,14,21,18,17,35,16,21,24,28,17,20
0,1,0,"60-64","140-159",">=7","60-64_1_0_0_140-159_>=7",23,14,13,13,13,15,19,13,10,11,11,16,14,13,26,13,16,19,23,14,17
0,1,0,"60-64","120-139",">=7","60-64_1_0_0_120-139_>=7",19,11,10,10,10,12,15,10,8,9,9,13,11,10,19,11,13,14,19,11,14
0,1,0,"60-64","<120",">=7","60-64_1_0_0_<120_>=7",15,8,8,8,8,10,13,8,6,7,7,10,9,8,14,9,10,11,16,9,11
0,1,0,"55-59",">=180",">=7","55-59_1_0_0_>=180_>=7",29,17,17,16,17,19,23,16,13,14,14,22,18,17,35,16,21,24,28,18,21
0,1,0,"55-59","160-179",">=7","55-59_1_0_0_160-179_>=7",23,13,13,13,13,15,18,13,10,11,11,16,14,13,25,13,16,18,23,14,17
0,1,0,"55-59","140-159",">=7","55-59_1_0_0_140-159_>=7",18,10,10,10,10,12,15,10,8,9,8,12,11,10,18,11,12,14,19,11,13
0,1,0,"55-59","120-139",">=7","55-59_1_0_0_120-139_>=7",14,8,8,7,8,10,12,7,6,7,7,9,9,7,13,9,10,10,15,9,11
0,1,0,"55-59","<120",">=7","55-59_1_0_0_<120_>=7",11,6,6,6,6,8,10,6,5,5,5,7,7,5,9,7,7,7,12,7,9
0,1,0,"50-54",">=180",">=7","50-54_1_0_0_>=180_>=7",23,14,13,13,13,15,19,13,10,11,11,17,14,13,26,14,16,19,24,14,17
0,1,0,"50-54","160-179",">=7","50-54_1_0_0_160-179_>=7",18,11,10,10,10,12,15,10,8,9,9,13,11,10,18,11,12,14,19,11,13
0,1,0,"50-54","140-159",">=7","50-54_1_0_0_140-159_>=7",14,8,8,7,7,9,12,7,6,7,7,9,9,7,12,9,9,10,15,9,10
0,1,0,"50-54","120-139",">=7","50-54_1_0_0_120-139_>=7",11,6,6,6,6,7,9,6,5,5,5,7,7,5,9,7,7,7,12,7,8
0,1,0,"50-54","<120",">=7","50-54_1_0_0_<120_>=7",8,5,5,4,4,6,7,4,3,4,4,5,5,4,6,5,5,5,9,5,7
0,1,0,"45-49",">=180",">=7","45-49_1_0_0_>=180_>=7",19,11,11,10,10,12,15,10,8,9,9,13,11,10,19,11,13,14,19,12,14
0,1,0,"45-49","160-179",">=7","45-49_1_0_0_160-179_>=7",14,8,8,8,8,10,12,8,6,7,7,10,9,8,13,9,10,10,15,9,11
0,1,0,"45-49","140-159",">=7","45-49_1_0_0_140-159_>=7",11,6,6,6,6,7,9,6,5,5,5,7,7,5,9,7,7,7,12,7,8
